"Name","Live Bytes","Live Objects"
"java.lang.management.PlatformComponent$11","16 B (0%)","1 (0%)"
"java.lang.management.PlatformComponent$10","16 B (0%)","1 (0%)"
"java.lang.management.PlatformComponent$13","16 B (0%)","1 (0%)"
"org.QTS.app.handler.tcpPlayerSpawnHandler$EzyObjectReader$EzyAutoImpl$44","16 B (0%)","1 (0%)"
"java.lang.management.PlatformComponent$12","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$322.158114096","16 B (0%)","1 (0%)"
"java.lang.management.PlatformComponent$15","16 B (0%)","1 (0%)"
"java.lang.management.PlatformComponent$14","16 B (0%)","1 (0%)"
"com.google.gson.internal.sql.SqlDateTypeAdapter$1","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleCollectionConverter$$Lambda$384.210461288","16 B (0%)","1 (0%)"
"org.QTS.common.models.CharacterAppearanceModel$EzyObjectUnwrapper$EzyAutoImpl$125","16 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPTransport$AcceptLoop","32 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$30.1526298704","16 B (0%)","1 (0%)"
"java.lang.NullPointerException","32 B (0%)","1 (0%)"
"java.lang.reflect.Proxy$ProxyClassFactory","16 B (0%)","1 (0%)"
"org.QTS.app.handler.BroadcastMessageHandler$EzyObjectReader$EzyAutoImpl$100","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.nio.wrapper.impl.EzyNioSessionManagerImpl","72 B (0%)","1 (0%)"
"org.QTS.app.handler.udpPlayerSpawnHandler$EzyPrototypeSupplier$EzyAutoImpl$11","16 B (0%)","1 (0%)"
"ch.qos.logback.core.joran.spi.DefaultNestedComponentRegistry","16 B (0%)","1 (0%)"
"org.QTS.app.handler.tcpPlayerSpawnHandler$EzyObjectReader$EzyAutoImpl$14","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleDeserializer$StringSizeDeserializer","16 B (0%)","1 (0%)"
"org.QTS.common.models.CharacterAppearanceModel$EzyObjectWriter$EzyAutoImpl$127","16 B (0%)","1 (0%)"
"sun.rmi.server.UnicastServerRef","32 B (0%)","1 (0%)"
"org.QTS.common.models.CharacterAppearanceModel$EzyObjectUnwrapper$EzyAutoImpl$110","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleCollectionConverter$$Lambda$395.1225112134","16 B (0%)","1 (0%)"
"sun.misc.Perf","16 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda$95.137460818","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$283.2051049625","16 B (0%)","1 (0%)"
"org.QTS.common.models.ChanelInfoModel$EzyObjectReader$EzyAutoImpl$152","16 B (0%)","1 (0%)"
"java.util.Spliterators$EmptySpliterator$OfDouble","16 B (0%)","1 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$320.764464412","16 B (0%)","1 (0%)"
"sun.reflect.ReflectionFactory","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.nio.EzyUdpServerBootstrap","40 B (0%)","1 (0%)"
"sun.management.VMManagementImpl","24 B (0%)","1 (0%)"
"sun.rmi.server.UnicastServerRef$HashToMethod_Maps","16 B (0%)","1 (0%)"
"EzyUserAppExit$UserAppExit$Handler$AutoImpl$11","24 B (0%)","1 (0%)"
"org.QTS.app.handler.BroadcastMessageHandler$EzyObjectReader$EzyAutoImpl$115","16 B (0%)","1 (0%)"
"sun.net.www.protocol.jar.JarFileFactory","16 B (0%)","1 (0%)"
"com.google.gson.ToNumberPolicy$1","24 B (0%)","1 (0%)"
"java.util.Collections$SetFromMap","24 B (0%)","1 (0%)"
"sun.nio.ch.DatagramDispatcher","16 B (0%)","1 (0%)"
"com.google.gson.ToNumberPolicy$2","24 B (0%)","1 (0%)"
"javassist.util.proxy.DefineClassHelper$Java7","24 B (0%)","1 (0%)"
"org.QTS.common.models.CharacterAppearanceModel$EzyObjectWriter$EzyAutoImpl$116","16 B (0%)","1 (0%)"
"com.google.gson.ToNumberPolicy$3","24 B (0%)","1 (0%)"
"com.google.gson.ToNumberPolicy$4","24 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.command.impl.EzyPluginSendResponseImpl","32 B (0%)","1 (0%)"
"org.QTS.common.models.ChanelInfoModel$EzyObjectReader$EzyAutoImpl$167","16 B (0%)","1 (0%)"
"sun.util.locale.provider.CalendarProviderImpl","24 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPChannel","56 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$25.631659383","16 B (0%)","1 (0%)"
"EzyUserAppExit$UserAppExit$Handler$AutoImpl$21","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleValueConverter$$Lambda$185.1593458942","16 B (0%)","1 (0%)"
"sun.util.locale.provider.CalendarDataProviderImpl","24 B (0%)","1 (0%)"
"EzyUserAppExit$UserAppExit$Handler$AutoImpl$29","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.binding.reader.EzyPrimitiveBooleanArrayReader","16 B (0%)","1 (0%)"
"org.QTS.common.models.CharacterAppearanceModel$EzyObjectWriter$EzyAutoImpl$105","16 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPTransport$ConnectionHandler","40 B (0%)","1 (0%)"
"org.slf4j.impl.StaticLoggerBinder","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$292.1603155662","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$259.240313592","16 B (0%)","1 (0%)"
"ch.qos.logback.core.joran.conditional.ElseAction","32 B (0%)","1 (0%)"
"java.util.regex.Pattern$Node","16 B (0%)","1 (0%)"
"sun.nio.cs.UTF_16","24 B (0%)","1 (0%)"
"java.util.jar.JarVerifier","88 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleDeserializer$$Lambda$57.576936864","16 B (0%)","1 (0%)"
"org.QTS.app.handler.BroadcastMessageHandler$EzyObjectReader$EzyAutoImpl$130","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$296.861987561","16 B (0%)","1 (0%)"
"java.util.logging.SimpleFormatter","16 B (0%)","1 (0%)"
"com.tvd12.reflections.vfs.Vfs$DefaultUrlTypes$1","24 B (0%)","1 (0%)"
"com.tvd12.reflections.vfs.Vfs$DefaultUrlTypes$2","24 B (0%)","1 (0%)"
"com.tvd12.reflections.vfs.Vfs$DefaultUrlTypes$3","24 B (0%)","1 (0%)"
"com.tvd12.reflections.vfs.Vfs$DefaultUrlTypes$4","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.bean.impl.EzyBeanKey$$Lambda$213.304715920","16 B (0%)","1 (0%)"
"com.tvd12.reflections.vfs.Vfs$DefaultUrlTypes$5","24 B (0%)","1 (0%)"
"java.text.MessageFormat$Field","16 B (0%)","1 (0%)"
"com.tvd12.reflections.vfs.Vfs$DefaultUrlTypes$6","24 B (0%)","1 (0%)"
"com.tvd12.reflections.vfs.Vfs$DefaultUrlTypes$7","24 B (0%)","1 (0%)"
"ch.qos.logback.core.joran.util.beans.BeanDescriptionFactory","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.binding.reader.EzyPrimitiveLongArrayReader","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$332.75838116","16 B (0%)","1 (0%)"
"org.QTS.app.response.GoResponse$EzyObjectWriter$EzyAutoImpl$80","16 B (0%)","1 (0%)"
"java.lang.ArithmeticException","32 B (0%)","1 (0%)"
"org.QTS.app.response.HelloResponse$EzyObjectReader$EzyAutoImpl$13","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleValueConverter$$Lambda$167.307829448","16 B (0%)","1 (0%)"
"org.QTS.common.models.RoomInfoModel$EzyObjectUnwrapper$EzyAutoImpl$3","16 B (0%)","1 (0%)"
"java.util.PropertyResourceBundle","40 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleDeserializer$$Lambda$65.112302969","16 B (0%)","1 (0%)"
"org.QTS.common.models.ChanelInfoModel$EzyObjectReader$EzyAutoImpl$5","16 B (0%)","1 (0%)"
"org.QTS.common.models.NetworkCharacterModel$EzyObjectUnwrapper$EzyAutoImpl$162","16 B (0%)","1 (0%)"
"org.QTS.app.response.GoResponse$EzyObjectWriter$EzyAutoImpl$91","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.binding.reader.EzyLocalDateReader","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.setting.EzySimpleThreadPoolSizeSetting","40 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$28.720167805","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$13.1088872417","16 B (0%)","1 (0%)"
"sun.reflect.UnsafeIntegerFieldAccessorImpl","32 B (0%)","1 (0%)"
"org.QTS.app.response.GoResponse$EzyObjectWriter$EzyAutoImpl$58","16 B (0%)","1 (0%)"
"java.lang.ref.Reference$ReferenceHandler","376 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.setting.EzySimpleSessionManagementSetting","48 B (0%)","1 (0%)"
"org.QTS.app.request.HelloRequest$EzyObjectWriter$EzyAutoImpl$18","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.setting.EzySimpleSettings","72 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.handler.EzySimpleRequestFactory$$Lambda$239.143284001","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.binding.writer.EzyIterableWriter","16 B (0%)","1 (0%)"
"org.QTS.app.response.GoResponse$EzyObjectWriter$EzyAutoImpl$69","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.bean.impl.EzyConfigurationAfterClassSorter$$Lambda$217.1507118393","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$16.2104028992","16 B (0%)","1 (0%)"
"java.security.Provider[]","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$353.1834612058","16 B (0%)","1 (0%)"
"org.QTS.common.models.NetworkCharacterModel$EzyObjectUnwrapper$EzyAutoImpl$147","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.factory.EzySimpleEntityCreator","16 B (0%)","1 (0%)"
"ch.qos.logback.core.ConsoleAppender","72 B (0%)","1 (0%)"
"sun.nio.fs.WindowsPathType[]","40 B (0%)","1 (0%)"
"org.QTS.common.models.NetworkCharacterModel$EzyObjectUnwrapper$EzyAutoImpl$132","16 B (0%)","1 (0%)"
"com.sun.beans.util.Cache$Kind[]","32 B (0%)","1 (0%)"
"java.net.InetAddress$2","16 B (0%)","1 (0%)"
"org.QTS.app.response.HelloResponse$EzyObjectReader$EzyAutoImpl$58","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$261.1524332688","16 B (0%)","1 (0%)"
"com.google.gson.FieldNamingPolicy[]","48 B (0%)","1 (0%)"
"com.tvd12.ezyfox.util.EzyCollectionFactory$$Lambda$122.37926966","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.binding.impl.EzyAbstractReaderBuilder$$Lambda$107.1876443073","16 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.utils.SecuritySupport","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$252.844986150","16 B (0%)","1 (0%)"
"sun.rmi.transport.DGCImpl$1","16 B (0%)","1 (0%)"
"org.QTS.app.response.HelloResponse$EzyObjectReader$EzyAutoImpl$43","16 B (0%)","1 (0%)"
"org.QTS.app.request.HelloRequest$EzyObjectWriter$EzyAutoImpl$29","16 B (0%)","1 (0%)"
"javassist.ClassPool","40 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$Mappings","48 B (0%)","1 (0%)"
"com.tvd12.ezyfox.binding.reader.EzyWrapperByteArrayReader","16 B (0%)","1 (0%)"
"sun.util.locale.BaseLocale$Cache","24 B (0%)","1 (0%)"
"org.QTS.common.models.NetworkCharacterModel$EzyObjectUnwrapper$EzyAutoImpl$117","16 B (0%)","1 (0%)"
"sun.rmi.server.UnicastRef","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.setting.EzySimpleZonesSetting","24 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.context.EzySimpleZoneContext$$Lambda$132.2083999882","16 B (0%)","1 (0%)"
"org.QTS.app.request.HelloRequest$EzyObjectWriter$EzyAutoImpl$51","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleCollectionConverter$$Lambda$390.1086311379","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleDeserializer$ArraySizeDeserializer","16 B (0%)","1 (0%)"
"javax.management.openmbean.SimpleType[]","72 B (0%)","1 (0%)"
"org.QTS.app.handler.UdpBroadcastMessageHandler$EzyObjectUnwrapper$EzyAutoImpl$37","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.controller.EzyRequestAppController","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.nio.wrapper.impl.EzyHandlerGroupManagerImpl","32 B (0%)","1 (0%)"
"sun.util.locale.provider.LocaleResources","32 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda$94.1248234350","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleValueConverter$EzySingletonValueConverter","24 B (0%)","1 (0%)"
"org.QTS.app.request.HelloRequest$EzyObjectWriter$EzyAutoImpl$40","16 B (0%)","1 (0%)"
"org.QTS.common.models.NetworkCharacterModel$EzyObjectUnwrapper$EzyAutoImpl$102","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.setting.EzySimpleAdminsSetting","24 B (0%)","1 (0%)"
"org.QTS.app.handler.UdpBroadcastMessageHandler$EzyObjectUnwrapper$EzyAutoImpl$22","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.binding.reader.EzyPrimitiveDoubleArrayReader","16 B (0%)","1 (0%)"
"NetworkPlayerRequestController$NetworkPlayerRequestHandle$Handler$AutoImpl$9","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.util.EzyMapFactory$$Lambda$114.1424082571","16 B (0%)","1 (0%)"
"org.QTS.app.response.HelloResponse$EzyObjectReader$EzyAutoImpl$28","16 B (0%)","1 (0%)"
"sun.util.locale.provider.AuxLocaleProviderAdapter$NullProvider","16 B (0%)","1 (0%)"
"NetworkPlayerRequestController$NetworkPlayerRequestHandle$Handler$AutoImpl$39","24 B (0%)","1 (0%)"
"sun.nio.ch.ExtendedSocketOption$1","16 B (0%)","1 (0%)"
"org.QTS.common.models.AllRoomsInfo$EzyObjectReader$EzyAutoImpl$90","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$264.1570186610","16 B (0%)","1 (0%)"
"com.google.gson.LongSerializationPolicy[]","24 B (0%)","1 (0%)"
"NetworkPlayerRequestController$NetworkPlayerRequestHandle$Handler$AutoImpl$33","24 B (0%)","1 (0%)"
"ch.qos.logback.core.subst.Node$Type[]","24 B (0%)","1 (0%)"
"java.net.InetAddress$Cache$Type[]","24 B (0%)","1 (0%)"
"java.net.URLClassLoader","88 B (0%)","1 (0%)"
"java.lang.Integer[]","1,040 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$288.653423881","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$40.2032188048","16 B (0%)","1 (0%)"
"sun.rmi.transport.SequenceEntry","24 B (0%)","1 (0%)"
"org.QTS.app.handler.UdpBroadcastMessageHandler$EzyObjectUnwrapper$EzyAutoImpl$52","16 B (0%)","1 (0%)"
"ItemExchangeRequestController$ExchangeRequestHandle$Handler$AutoImpl$14","24 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.socket.EzySocketDisconnectionHandler","24 B (0%)","1 (0%)"
"org.QTS.common.GlobalData.CommonData","32 B (0%)","1 (0%)"
"NetworkPlayerRequestController$NetworkPlayerRequestHandle$Handler$AutoImpl$25","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.binding.reader.EzyDoubleReader","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleCollectionConverter$$Lambda$387.330184170","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.nio.builder.impl.EzyHandlerGroupBuilderFactoryImpl","64 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleCollectionConverter$$Lambda$393.821757625","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$20.558569884","16 B (0%)","1 (0%)"
"sun.util.resources.en.TimeZoneNames_en","48 B (0%)","1 (0%)"
"org.QTS.common.models.AllRoomsInfo$EzyObjectWriter$EzyAutoImpl$101","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackBinSizeSerializer","16 B (0%)","1 (0%)"
"com.sun.org.apache.xerces.internal.utils.XMLSecurityPropertyManager$State[]","40 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.setting.EzySimpleSslConfigSetting","24 B (0%)","1 (0%)"
"ItemExchangeRequestController$ExchangeRequestHandle$Handler$AutoImpl$26","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.binding.reader.EzyWrapperCharacterArrayReader","16 B (0%)","1 (0%)"
"NetworkPlayerRequestController$NetworkPlayerRequestHandle$Handler$AutoImpl$56","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$281.1008029820","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$308.1161410873","16 B (0%)","1 (0%)"
"ItemExchangeRequestController$ExchangeRequestHandle$Handler$AutoImpl$34","24 B (0%)","1 (0%)"
"ItemExchangeRequestController$ExchangeRequestHandle$Handler$AutoImpl$38","24 B (0%)","1 (0%)"
"com.sun.beans.finder.MethodFinder$1","40 B (0%)","1 (0%)"
"NetworkPlayerRequestController$NetworkPlayerRequestHandle$Handler$AutoImpl$48","24 B (0%)","1 (0%)"
"sun.reflect.generics.tree.VoidDescriptor","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleDeserializer$$Lambda$73.2028555727","16 B (0%)","1 (0%)"
"sun.util.locale.provider.TimeZoneNameProviderImpl","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.core.util.EzyEventHandlerLists$$Lambda$219.2024240125","16 B (0%)","1 (0%)"
"ch.qos.logback.classic.pattern.ThrowableProxyConverter","48 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleValueConverter$$Lambda$155.1188401255","16 B (0%)","1 (0%)"
"org.QTS.app.handler.UdpBroadcastMessageHandler$EzyObjectUnwrapper$EzyAutoImpl$67","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.context.EzySimplePluginContext","48 B (0%)","1 (0%)"
"org.QTS.common.models.AllRoomsInfo$EzyObjectReader$EzyAutoImpl$75","16 B (0%)","1 (0%)"
"ItemExchangeRequestController$ExchangeRequestHandle$Handler$AutoImpl$46","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$27.63468833","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$297.1881545720","16 B (0%)","1 (0%)"
"sun.instrument.TransformerManager$TransformerInfo[]","16 B (0%)","1 (0%)"
"javassist.ClassClassPath","16 B (0%)","1 (0%)"
"ch.qos.logback.core.joran.action.ConversionRuleAction","32 B (0%)","1 (0%)"
"java.nio.Bits$1$1","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackDoubleSerializer","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.socket.EzySocketUserRemovalHandler","24 B (0%)","1 (0%)"
"org.QTS.plugin.controller.PluginRequestController","16 B (0%)","1 (0%)"
"org.QTS.app.handler.BroadcastMessageHandler$EzyPrototypeSupplier$EzyAutoImpl$18","16 B (0%)","1 (0%)"
"org.QTS.app.handler.UdpBroadcastMessageHandler$EzyObjectUnwrapper$EzyAutoImpl$97","16 B (0%)","1 (0%)"
"org.QTS.app.handler.BroadcastMessageHandler$EzyPrototypeSupplier$EzyAutoImpl$14","16 B (0%)","1 (0%)"
"ItemExchangeRequestController$ExchangeRequestHandle$Handler$AutoImpl$55","24 B (0%)","1 (0%)"
"org.QTS.common.models.AllRoomsInfo$EzyObjectReader$EzyAutoImpl$45","16 B (0%)","1 (0%)"
"org.QTS.app.handler.BroadcastMessageHandler$EzyPrototypeSupplier$EzyAutoImpl$10","16 B (0%)","1 (0%)"
"org.QTS.app.handler.tcpPlayerSpawnHandler$EzyPrototypeSupplier$EzyAutoImpl$21","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$55.1003752023","16 B (0%)","1 (0%)"
"org.QTS.common.models.AllRoomsInfo$EzyObjectReader$EzyAutoImpl$60","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleDeserializer$$Lambda$61.1891502635","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$285.1515675506","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$270.1870384442","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$254.1861033526","16 B (0%)","1 (0%)"
"sun.util.locale.provider.CalendarDataUtility$CalendarWeekParameterGetter","16 B (0%)","1 (0%)"
"sun.nio.ch.ServerSocketChannelImpl","96 B (0%)","1 (0%)"
"ch.qos.logback.core.joran.spi.SimpleRuleStore","32 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.socket.EzySocketSystemRequestHandlingLoopHandler","32 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleValueConverter$$Lambda$170.1093864783","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.util.EzyMapFactory$$Lambda$115.1403700359","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleDeserializer$$Lambda$74.898557489","16 B (0%)","1 (0%)"
"org.QTS.app.handler.BroadcastMessageHandler$EzyPrototypeSupplier$EzyAutoImpl$26","16 B (0%)","1 (0%)"
"java.util.Optional","16 B (0%)","1 (0%)"
"org.QTS.app.handler.tcpPlayerSpawnHandler$EzyPrototypeSupplier$EzyAutoImpl$17","16 B (0%)","1 (0%)"
"ItemExchangeRequestController$ExchangeRequestHandle$Handler$AutoImpl$65","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$357.631447275","16 B (0%)","1 (0%)"
"org.QTS.app.handler.BroadcastMessageHandler$EzyPrototypeSupplier$EzyAutoImpl$22","16 B (0%)","1 (0%)"
"org.QTS.app.handler.tcpPlayerSpawnHandler$EzyPrototypeSupplier$EzyAutoImpl$13","16 B (0%)","1 (0%)"
"org.QTS.app.handler.UdpBroadcastMessageHandler$EzyObjectUnwrapper$EzyAutoImpl$82","16 B (0%)","1 (0%)"
"org.QTS.app.handler.BroadcastMessageHandler$EzyPrototypeSupplier$EzyAutoImpl$30","16 B (0%)","1 (0%)"
"org.QTS.app.handler.tcpPlayerSpawnHandler$EzyPrototypeSupplier$EzyAutoImpl$33","16 B (0%)","1 (0%)"
"NetworkPlayerRequestController$NetworkPlayerRequestHandle$Handler$AutoImpl$12","24 B (0%)","1 (0%)"
"com.tvd12.ezyfox.binding.reader.EzyDateReader","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackSimpleSerializer$$Lambda$46.330084561","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$255.1033451822","16 B (0%)","1 (0%)"
"java.lang.ref.WeakReference[]","18,360 B (0%)","1 (0%)"
"org.QTS.common.models.AllRoomsInfo$EzyObjectWriter$EzyAutoImpl$112","16 B (0%)","1 (0%)"
"ItemExchangeRequestController$ExchangeRequestHandle$Handler$AutoImpl$74","24 B (0%)","1 (0%)"
"org.QTS.app.handler.BroadcastMessageHandler$EzyPrototypeSupplier$EzyAutoImpl$38","16 B (0%)","1 (0%)"
"ItemExchangeRequestController$ExchangeRequestHandle$Handler$AutoImpl$76","24 B (0%)","1 (0%)"
"org.QTS.app.handler.tcpPlayerSpawnHandler$EzyPrototypeSupplier$EzyAutoImpl$29","16 B (0%)","1 (0%)"
"org.QTS.app.handler.BroadcastMessageHandler$EzyPrototypeSupplier$EzyAutoImpl$34","16 B (0%)","1 (0%)"
"org.QTS.app.handler.tcpPlayerSpawnHandler$EzyPrototypeSupplier$EzyAutoImpl$25","16 B (0%)","1 (0%)"
"org.QTS.app.handler.tcpPlayerSpawnHandler$EzyPrototypeSupplier$EzyAutoImpl$41","16 B (0%)","1 (0%)"
"sun.management.counter.Units[]","48 B (0%)","1 (0%)"
"ch.qos.logback.core.joran.action.TimestampAction","32 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleCollectionConverter$$Lambda$386.1646535802","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleInputTransformer$$Lambda$268.1327977420","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleValueConverter$$Lambda$145.629454893","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.api.EzyProxyResponseApi","24 B (0%)","1 (0%)"
"java.security.ProtectionDomain$3$1","24 B (0%)","1 (0%)"
"org.QTS.common.models.AllRoomsInfo$EzyObjectWriter$EzyAutoImpl$123","16 B (0%)","1 (0%)"
"ItemExchangeRequestController$ExchangeRequestHandle$Handler$AutoImpl$84","24 B (0%)","1 (0%)"
"org.QTS.common.models.AllRoomsInfo$EzyObjectReader$EzyAutoImpl$30","16 B (0%)","1 (0%)"
"org.QTS.app.handler.BroadcastMessageHandler$EzyPrototypeSupplier$EzyAutoImpl$42","16 B (0%)","1 (0%)"
"org.QTS.app.handler.tcpPlayerSpawnHandler$EzyPrototypeSupplier$EzyAutoImpl$37","16 B (0%)","1 (0%)"
"org.QTS.plugin.controller.UserRemoveController","16 B (0%)","1 (0%)"
"java.io.RandomAccessFile","32 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$305.1316719274","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.codec.MsgPackIntSerializer","16 B (0%)","1 (0%)"
"org.QTS.app.request.HelloRequest$EzyObjectReader$EzyAutoImpl$111","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleOutputTransformer$$Lambda$339.441733941","16 B (0%)","1 (0%)"
"com.tvd12.ezyfox.io.EzySimpleValueConverter$$Lambda$141.2142565033","16 B (0%)","1 (0%)"
"com.tvd12.ezyfoxserver.setting.EzySimpleLoggerSetting$EzySimpleIgnoredCommandsSetting","16 B (0%)","1 (0%)"
"ch.qos.logback.core.joran.spi.EventPlayer","24 B (0%)","1 (0%)"
